Step,Node,Series,ElapsedTime,EpochTime,CPUFrequency,CPUTime,CPUUtilization,RSS,VMSize,Pages,ReadMB,WriteMB
batch,ns55,0,790,1493998557,6327,118.770000,2375.400000,352204,3113520,2,7.621050,0.000000
batch,ns55,0,795,1493998562,36813,119.780000,2395.600000,352204,3113520,2,7.635594,0.000000
batch,ns55,0,800,1493998567,66591,119.250000,2385.000000,352204,3113520,2,7.706642,0.000000
batch,ns55,0,805,1493998572,95928,120.110000,2402.200000,352204,3113520,2,7.673318,0.000000
batch,ns55,0,810,1493998577,124356,119.030000,2380.600000,352204,3113520,2,7.615021,0.000000
batch,ns55,0,815,1493998582,152364,120.040000,2400.800000,352204,3113520,2,7.673653,0.000000
batch,ns55,0,820,1493998587,179513,119.970000,2399.400000,352204,3113520,2,7.661349,0.000000
batch,ns55,0,825,1493998592,205860,118.750000,2375.000000,352204,3113520,2,7.688772,0.000000
batch,ns55,0,830,1493998597,231835,119.990000,2399.800000,352204,3113520,2,7.646426,0.000000
batch,ns55,0,835,1493998602,257037,118.890000,2377.800000,352204,3113520,2,7.616069,0.000000
batch,ns55,0,840,1493998607,281909,119.710000,2394.200000,352204,3113520,2,7.630004,0.000000
batch,ns55,0,845,1493998612,306282,119.130000,2382.600000,362732,3185328,2,8.048820,0.002639
batch,ns55,0,850,1493998617,326371,100.320000,2006.400000,406172,3457740,2,9.548800,0.011437
batch,ns55,0,855,1493998622,345885,99.290000,1985.800000,406172,3457740,2,9.126171,0.000000
batch,ns55,0,860,1493998627,367977,114.730000,2294.600000,406172,3457740,2,9.010158,0.000000
batch,ns55,0,865,1493998632,25455,120.260000,2405.200000,406172,3457740,2,8.896801,0.000000
batch,ns55,0,870,1493998637,51475,120.120000,2402.400000,406172,3457740,2,8.881727,0.000000
batch,ns55,0,875,1493998642,76757,119.810000,2396.200000,406172,3457740,2,8.869153,0.000000
batch,ns55,0,880,1493998647,101548,119.930000,2398.600000,406172,3457740,2,8.848173,0.000000
batch,ns55,0,885,1493998652,125846,119.940000,2398.800000,406172,3457740,2,8.901107,0.000000
batch,ns55,0,890,1493998657,149672,119.840000,2396.800000,406484,3457740,2,8.863650,0.000000
batch,ns55,0,895,1493998662,173248,120.230000,2404.600000,406692,3457740,2,8.898523,0.000000
batch,ns55,0,900,1493998667,196359,120.620000,2412.400000,407628,3457740,2,8.910676,0.000000
batch,ns55,0,905,1493998672,219031,120.620000,2412.400000,407836,3457740,2,9.006289,0.000000
batch,ns55,0,910,1493998677,240926,118.790000,2375.800000,407836,3457740,2,8.764122,0.000000
batch,ns55,0,915,1493998682,262583,119.850000,2397.000000,407836,3457740,2,8.874180,0.000000
batch,ns55,0,920,1493998687,284041,120.150000,2403.000000,407836,3457740,2,8.893943,0.000000
batch,ns55,0,925,1493998692,300904,96.140000,1922.800000,407836,3457740,2,7.103229,0.000000
batch,ns55,0,930,1493998697,321494,119.710000,2394.200000,407836,3457740,2,8.859007,0.000000
batch,ns55,0,935,1493998702,21485,119.650000,2393.000000,407836,3457740,2,8.874789,0.000000
batch,ns55,0,940,1493998707,44358,120.230000,2404.600000,407836,3457740,2,8.967793,0.000000
batch,ns55,0,945,1493998712,66638,119.910000,2398.200000,407836,3457740,2,8.898080,0.000000
batch,ns55,0,950,1493998717,88531,119.410000,2388.200000,407836,3457740,2,8.874975,0.000000
batch,ns55,0,955,1493998722,110053,119.630000,2392.600000,407836,3457740,2,8.865875,0.000000
batch,ns55,0,960,1493998727,131562,121.200000,2424.000000,407836,3457740,2,9.022927,0.000000
batch,ns55,0,965,1493998732,152345,119.330000,2386.600000,407836,3457740,2,8.843688,0.000000
batch,ns55,0,970,1493998737,171768,113.490000,2269.800000,407880,3457876,2,9.885358,0.015824
batch,ns55,0,975,1493998742,186500,87.940000,1758.800000,407880,3457876,2,9.088732,0.000000
batch,ns55,0,980,1493998747,200886,86.480000,1729.600000,407880,3457876,2,9.135195,0.000000
batch,ns55,0,985,1493998752,215114,86.410000,1728.200000,407880,3457876,2,8.972524,0.000000
batch,ns55,0,990,1493998757,229175,86.050000,1721.000000,407880,3457876,2,8.927354,0.000000
batch,ns55,0,995,1493998762,242894,85.890000,1717.800000,407880,3457876,2,8.903710,0.000000
batch,ns55,0,1000,1493998767,256452,85.560000,1711.200000,407880,3457876,2,8.823498,0.000000
batch,ns55,0,1005,1493998772,270029,86.050000,1721.000000,407880,3457880,2,8.922534,0.000000
batch,ns55,0,1010,1493998777,283276,85.950000,1719.000000,407880,3457876,2,8.896235,0.000000
batch,ns55,0,1015,1493998782,10651,86.070000,1721.400000,407880,3457876,2,8.911699,0.000000
batch,ns55,0,1020,1493998787,25225,85.480000,1709.600000,407880,3457876,2,8.810040,0.000000
batch,ns55,0,1025,1493998792,39633,85.590000,1711.800000,407880,3457876,2,8.885460,0.000000
batch,ns55,0,1030,1493998797,53879,85.970000,1719.400000,407880,3457876,2,8.928309,0.000000
batch,ns55,0,1035,1493998802,67965,85.990000,1719.800000,407880,3457876,2,8.901819,0.000000
batch,ns55,0,1040,1493998807,81900,85.260000,1705.200000,407880,3457876,2,8.850305,0.000000
batch,ns55,0,1045,1493998812,95682,85.470000,1709.400000,407880,3457880,2,8.880201,0.000000
batch,ns55,0,1050,1493998817,109308,85.770000,1715.400000,407880,3457876,2,8.932615,0.000000
batch,ns55,0,1055,1493998822,122784,85.400000,1708.000000,407880,3457876,2,8.881638,0.000000
batch,ns55,0,1060,1493998827,136122,85.960000,1719.200000,407880,3457876,2,8.901419,0.000000
batch,ns55,0,1065,1493998832,149308,85.510000,1710.200000,407880,3457876,2,8.903268,0.000000
batch,ns55,0,1070,1493998837,162352,85.540000,1710.800000,407880,3457876,2,8.880140,0.000000
batch,ns55,0,1075,1493998842,175267,85.850000,1717.000000,407880,3457880,2,8.863341,0.000000
batch,ns55,0,1080,1493998847,188195,86.080000,1721.600000,407880,3457876,2,8.946946,0.000000
batch,ns55,0,1085,1493998852,200826,85.410000,1708.200000,407880,3457876,2,8.901130,0.000000
batch,ns55,0,1090,1493998857,213483,86.410000,1728.200000,407884,3457876,2,9.364959,0.002436
batch,ns55,0,1095,1493998862,224545,76.450000,1529.000000,407924,3457876,2,9.712012,0.015200
batch,ns55,0,1100,1493998867,234942,72.550000,1451.000000,407924,3457876,2,9.096515,0.000000
batch,ns55,0,1105,1493998872,245233,72.510000,1450.200000,407924,3457876,2,9.061324,0.000000
batch,ns55,0,1110,1493998877,255293,71.780000,1435.600000,407924,3457876,2,8.902661,0.000000
batch,ns55,0,1115,1493998882,7682,71.860000,1437.200000,407924,3457880,2,8.903586,0.000000
batch,ns55,0,1120,1493998887,18677,71.710000,1434.200000,407924,3457876,2,8.885965,0.000000
